Month,NSW,Vic,Qld,WA,SA,Tas,ACT,NT
January,8106,6622,5130,2851,1771,496,551,344
February,7984,6904,5177,2860,1636,466,507,338
March,9092,7482,5829,3140,1827,543,584,338
April,8465,6820,5478,2958,1701,474,518,354
May,8541,7084,5418,2941,1746,513,558,351
June,8443,6648,5407,2912,1656,527,546,305
July,8397,6872,5514,2813,1611,504,530,305
August,8227,6649,5328,2767,1651,501,539,303
September,8104,6701,5227,2916,1636,508,541,281
October,8349,6924,5120,2917,1701,502,509,325
November,7850,6374,4817,2775,1587,539,519,283
December,7751,6709,4938,2826,1658,508,558,299
