Month,NSW,Vic,Qld,WA,SA,Tas,ACT,NT
January,8.2,8.1,8.1,8.2,8.8,8.2,8.5,9.0
February,8.0,8.4,8.2,8.2,8.1,7.7,7.8,8.8
March,9.2,9.1,9.2,9.1,9.1,8.9,9.0,8.8
April,8.5,8.3,8.6,8.5,8.4,7.8,8.0,9.3
May,8.6,8.7,8.5,8.5,8.7,8.4,8.6,9.2
June,8.5,8.1,8.5,8.4,8.2,8.7,8.5,8.0
July,8.5,8.4,8.7,8.1,8.0,8.3,8.2,8.0
August,8.3,8.1,8.4,8.0,8.2,8.2,8.3,7.9
September,8.2,8.2,8.2,8.4,8.1,8.4,8.4,7.3
October,8.4,8.5,8.1,8.4,8.4,8.3,7.9,8.5
November,7.9,7.8,7.6,8.0,7.9,8.9,8.0,7.4
December,7.8,8.2,7.8,8.1,8.2,8.4,8.6,7.8
